StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q5,python,Q3,Q7,Q6,Q10_1,Q10_2,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q8
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,To the summer school I'll bring a laptop running on ....,python (3),R/RStudio,Git (version control),I prefer...,I use... - venv,I use... - pip,Some topics - wordscore/wordfish/wordshoal,Some topics - POS tagger,Some topics - fact-checking,Some topics - sentiment analysis,Some topics - extreme bounds analysis,Some topics - probability calibration,"Some topics - clustering, e.g. cluster evaluation/centroid functions/distance measures",Some topics - parallel processing,Some topics - bagging/boosting,"Some topics - classification, e.g. KNN, SVM, RF, NB, NN, XGBoost",Any additional comments?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID7""}","{""ImportId"":""QID6""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID8_TEXT""}"
2021-08-24 05:16:56,2021-08-24 05:18:58,IP Address,134.93.30.43,100,121,True,2021-08-24 05:18:58,R_xaS0MNTXOG5NzTb,,,,,49.9911956787109375,8.240997314453125,anonymous,EN,Windows,never used,never used,never used,,no,no,no clue,no clue,no clue,used it,no clue,no clue,no clue,no clue,no clue,no clue,
2021-08-24 05:17:19,2021-08-24 05:23:28,IP Address,134.100.35.1,100,369,True,2021-08-24 05:23:28,R_3PG3RccneF9ZpzI,,,,,53.565093994140625,9.973907470703125,anonymous,EN,Windows,used it a few times,used it a few times,never used,none of the above,no,yes,no clue,no clue,no clue,no clue,no clue,used it,no clue,used it,used it,no clue,
2021-08-24 05:18:29,2021-08-24 05:26:12,IP Address,95.223.73.234,100,463,True,2021-08-24 05:26:13,R_29b8uzcw9jHsH4c,,,,,50.0897979736328125,8.6808929443359375,anonymous,EN,MacOs,using it regularly,using it regularly,using it regularly,none of the above,yes,yes,no clue,no clue,no clue,used it,no clue,no clue,no clue,no clue,used it,used it,"python mostly for numerical analysis or programming experiments (django/otree); statistics/metrics in R; Sublime/RStudio/JupyterNB depending on application; conda /Venv depending on project. mostly Conda out of laziness. "
2021-08-24 05:18:37,2021-08-24 05:26:45,IP Address,134.28.46.146,100,487,True,2021-08-24 05:26:45,R_1gMBcsdJVDkyJZ8,,,,,53.33160400390625,9.8650054931640625,anonymous,EN,Windows,never used,used it a few times,used it a few times,none of the above,no,no,no clue,no clue,no clue,no clue,no clue,used it,used it,no clue,no clue,no clue,
2021-08-24 05:27:58,2021-08-24 05:29:15,IP Address,79.194.39.1,100,76,True,2021-08-24 05:29:15,R_3m1BTDGz50uRf37,,,,,50.210693359375,8.58050537109375,anonymous,EN,Windows,used it a few times,used it a few times,never used,none of the above,no,no,no clue,no clue,no clue,used it,no clue,no clue,used it,no clue,no clue,no clue,
2021-08-24 05:38:09,2021-08-24 05:39:20,IP Address,213.134.178.118,100,70,True,2021-08-24 05:39:20,R_3qlnVDLvtQbWIDT,,,,,52.2483978271484375,21.002593994140625,anonymous,EN,MacOs,used it a few times,used it a few times,never used,none of the above,no,no,no clue,no clue,no clue,no clue,no clue,no clue,used it,no clue,no clue,no clue,
2021-08-24 05:41:55,2021-08-24 05:43:17,IP Address,134.93.195.33,100,81,True,2021-08-24 05:43:18,R_3Jtm1s8rd2BVwCE,,,,,49.9792022705078125,8.250701904296875,anonymous,EN,Windows,never used,used it a few times,never used,Jupyter Notebook,,,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,
2021-08-24 05:42:32,2021-08-24 05:48:01,IP Address,139.11.226.129,100,329,True,2021-08-24 05:48:01,R_1Iz2RkR2KcoZZZU,,,,,53.576202392578125,10.119903564453125,anonymous,EN,Windows,never used,never used,never used,none of the above,no,no,no clue,no clue,no clue,used it,no clue,no clue,used it,no clue,no clue,no clue,
